Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - TackleAI,Seed,Seed,"$3,000,000","Nov 11, 2021",TackleAI,TackleAI is a collection of proprietary neural networks that automatically discover data on any type of document or image.,"Artificial Intelligence, Ediscovery, Finance, Insurance, Legal, Machine Learning, Publishing, Software","Hispanic / Latine Founded, Hispanic / Latine Led, Women Led","Schaumburg, Illinois, United States, North America",www.tackleai.com,,"$10,184,932",—,5,"Cleveland Avenue, Joe Van Hecke",2
Pre Seed Round - Dropverse,Pre-Seed,Seed,"$2,000,000","Nov 10, 2021",Dropverse,Geolocation-based mobile gaming platform.,"Blockchain, Cryptocurrency, Gaming, Information Technology, Software, Web Development",—,"New City, New York, United States, North America",www.dropverse.com,,"$2,000,000",Seed,1,—,—
Pre Seed Round - BrightPay Health Corp.,Pre-Seed,Seed,"$325,000","Nov 1, 2021",BrightPay Health Corp.,BrightPay makes paying for care transparent through price and offers self-managed payment options.,—,—,"Alpharetta, Georgia, United States, North America",www.brightpay.org,,"$425,000",Seed,3,—,1
Seed Round - Fluent Pet,Seed,Seed,"$742,514","Oct 21, 2021",Fluent Pet,We've known for millennia that dogs and cats can understand the words we say. Now they can talk to humans.,"Information Technology, Internet, Pet",—,"San Diego, California, United States, North America",fluent.pet,,"$742,514",Seed,1,—,1
Seed Round - i2Chain,Seed,Seed,"$2,250,000","Oct 31, 2021",i2Chain,"i2Chain delivers non-fungible , access controlled, & traceable documents for secure storage and privacy-compliant sharing.","Cyber Security, Software",—,"San Ramon, California, United States, North America",www.i2chain.com,,"$4,961,990",Seed,4,—,—
Seed Round - Syndica,Seed,Seed,"$8,000,000","Nov 3, 2021",Syndica,Syndica is a web3 developer infrastructure company focused on the Solana ecosystem.,"Blockchain, Infrastructure, Web Development",—,"Houston, Texas, United States, North America",www.syndica.io/,,"$8,000,000",Seed,1,"Kindred Ventures, Social Capital",13
Seed Round - SOLTEC HEALTH,Seed,Seed,"$848,916","Oct 15, 2021",SOLTEC HEALTH,SOLTEC HEALTH develops smart wearable technology to provide accurate sleep data available.,"Medical, Medical Device, Wearables",—,"Eden Prairie, Minnesota, United States, North America",soltechealth.com/,,"$5,336,516",—,3,—,—
Seed Round - RayIoT Solutions Inc.,Seed,Seed,"$750,000","Nov 2, 2021",RayIoT Solutions Inc.,RayIoT is a platform consisting of devices and software to enable health monitoring in the native environment of the user.,"Artificial Intelligence, Consumer Electronics, Internet of Things, Machine Learning","South Asian Founded, Women Founded, Women Led","Delaware City, Delaware, United States, North America",www.rayiot.org/,,"$2,150,000",Seed,6,Redstart Labs,2
Seed Round - Tozuda,Seed,Seed,"$120,000","Nov 9, 2021",Tozuda,Tozuda is a manufacturing company that develops the most affordable and reliable concussion awareness solutions.,"Manufacturing, Product Design, Sporting Goods, Sports","Hispanic / Latine Founded, Women Founded","Philadelphia, Pennsylvania, United States, North America",www.tozuda.com,,"$120,000",Seed,2,Techstars,1
Seed Round - Cascade,Seed,Seed,"$5,300,000","Nov 9, 2021",Cascade,Cascade helps operations teams automate their data workflows.,"Business Intelligence, Predictive Analytics, Software",—,"San Francisco, California, United States, North America",www.cascade.io/,,"$5,300,000",Seed,1,First Round Capital,4
