Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Ando Money,Seed,Seed,"$6,000,000","Oct 21, 2021",Ando Money,Ando Money enables customers to join and drive a transformative movement to combat the climate crisis through carbon-reducing banking.,"Banking, Financial Services, FinTech, Impact Investing",—,"San Diego, California, United States, North America",www.andomoney.com,,"$6,000,000",Seed,1,TTV Capital,3
Seed Round - RevOps,Seed,Seed,"$5,000,000","Oct 19, 2021",RevOps,"RevOps, a CPQ company made for Software Businesses, helps Sales close deals faster with automation in the buying process.","B2B, Consulting, Information Technology, Marketing, Software",Hispanic / Latine Founded,"San Francisco, California, United States, North America",www.revops.io,,"$6,600,000",Seed,2,"Caffeinated Capital, Coatue, Gradient Ventures",4
Seed Round - Healthee,Seed,Seed,"$22,000,000","Oct 19, 2021",Healthee,Healthee is an AI-powered digital platform that allows employees to utilize their health and wellness benefits.,"Artificial Intelligence, Consulting, Fitness, Health Care, InsurTech, Medical, Wellness",—,"New York, New York, United States, North America",healthee.co,,"$23,500,000",Seed,4,Group 11,4
Seed Round - ForecastEra,Seed,Seed,"$4,500,000","Oct 20, 2021",ForecastEra,Solutions to consistently meet growth objectives by transforming Core Sales and Finance processes with Cloud based SaaS and AI applications,"Artificial Intelligence, Business Intelligence, CRM, Enterprise Applications, Enterprise Software, Finance, FinTech, Sales Automation, Software",—,"Reston, Virginia, United States, North America",forecastera.com/,,"$4,500,000",Seed,1,Ringbolt Capital,1
Pre Seed Round - AIPEX Technologies,Pre-Seed,Seed,"$500,000","Oct 18, 2021",AIPEX Technologies,AIPEX brings voice technology to living spaces. Customers use it to connect with their guests and residents in ways not previously possible.,"Artificial Intelligence, Assistive Technology, Hospitality, Knowledge Management, Natural Language Processing, SaaS",—,"Seattle, Washington, United States, North America",www.aipextech.com,,"$810,000",Seed,3,—,—
Seed Round - NOCAP Sports,Seed,Seed,"$2,500,000","Nov 10, 2021",NOCAP Sports,"Premier name, image and likeness (NIL) platform helping brands execute athlete marketing campaigns at scale","Creative Agency, Marketing, SaaS, Sponsorship, Sports",—,"Philadelphia, Pennsylvania, United States, North America",nocapsports.io,,"$2,500,000",Seed,1,Florida Funders,11
Seed Round - Struxtion,Seed,Seed,"$5,500,000","Nov 1, 2021",Struxtion,Struxtion provides undeserved commercial construction contractors.,Construction,—,"Cincinnati, Ohio, United States, North America",struxtion.com/,,"$5,500,000",Seed,1,North American Properties,4
Pre Seed Round - Twisp,Pre-Seed,Seed,"$2,700,000","Nov 1, 2021",Twisp,Twisp helps fintech companies scale their financial data infrastructure.,"Database, Developer Tools, Financial Services, FinTech",—,"Portland, Oregon, United States, North America",www.twisp.com/,,"$2,700,000",Seed,1,—,—
Pre Seed Round - Haste Arcade,Pre-Seed,Seed,"$500,000","Oct 14, 2021",Haste Arcade,Haste Arcade is an operator of an instant leaderboard payout gaming arcade platform.,"Developer Tools, Gaming, Online Portals",—,"Los Angeles, California, United States, North America",www.hastearcade.com,,"$2,000,000",Seed,2,—,1
Pre Seed Round - Robigo,Pre-Seed,Seed,"$1,150,000","Nov 5, 2021",Robigo,Robigo is a biomanufacturing company engineering microbes to create more sustainable crop protection solutions.,Biotechnology,—,"Cambridge, Massachusetts, United States, North America",www.robigo.bio/,,"$11,150,000",Seed,3,First Star Ventures,2
Seed Round - nameless,Seed,Seed,"$15,000,000","Oct 28, 2021",nameless,Nameless sets new industry standards for rich Web3 experiences.,"Blockchain, Cryptocurrency, Internet, Software",—,"Sheridan, Wyoming, United States, North America",www.nameless.io/,,"$15,000,000",Seed,3,Mechanism Capital,20
Seed Round - HYPERREAL,Seed,Seed,"$7,000,000","Nov 4, 2021",HYPERREAL,Hyperreal empowers brands with digital assets that enable their value in the virtual world.,"Digital Media, Information Technology, Software",—,"New York, New York, United States, North America",www.hyperreal.io/,,"$7,000,000",—,2,Pearl Abyss Capital,5
Seed Round - Memory-Lane.tv,Seed,Seed,"$175,000","Oct 13, 2021",Memory-Lane.tv,Memory-Lane.tv is a multi-sensory therapeutic tool for people living with Dementia and their caregivers.,"Elder Care, Health Care, Wellness",—,"Portland, Maine, United States, North America",memory-lane.tv/,,"$225,000",—,2,—,—
Seed Round - Schwarm Technologies Inc.,Seed,Seed,"$300,000","Nov 1, 2021",Schwarm Technologies Inc.,Schwarm Technologies is an innovative technology company focussed on the Internet of Things (IoT),"Information Technology, Internet of Things, Renewable Energy, Software",—,"San Francisco, California, United States, North America",schwarm-tech.com,,"$1,000,000",Seed,3,—,—
Seed Round - Telling.ai,Seed,Seed,"$50,000","Nov 12, 2021",Telling.ai,Telling.ai is building AI voice analytics software for enterprise clients.,"Analytics, Artificial Intelligence, Software",Women Founded,"Pittsburgh, Pennsylvania, United States, North America",telling.ai/,,"$305,984",Seed,4,—,2
Pre Seed Round - Village Insights,Pre-Seed,Seed,"$250,000","Nov 5, 2021",Village Insights,Community Management software,"Communities, Innovation Management, SaaS, Social Network, Software, Universities",—,"Houston, Texas, United States, North America",villageinsights.com/,,"$250,000",Seed,1,—,—
Seed Round - Cuneiform,Seed,Seed,"$461,772","Nov 10, 2021",Cuneiform,"Cuneiform helps creators to feature their content and retain control, while also innovating the traditional box office ticket system.","Content, Digital Entertainment, Media and Entertainment",—,"Austin, Texas, United States, North America",www.cuneiform.ai/,,"$461,772",Seed,1,—,—
Seed Round - Valiot,Seed,Seed,"$2,500,000","Oct 25, 2021",Valiot,Valiot is an AI company with products to optimize manufacturing and supply chain operations.,"Artificial Intelligence, Information Technology, Machine Learning, Manufacturing, Software",—,"Austin, Texas, United States, North America",valiot.io,,"$6,600,000",—,3,—,—
Seed Round - Cecilian Partners,Seed,Seed,"$500,000","Oct 30, 2021",Cecilian Partners,Cecilian Partners develops a real estate software platform that simplifies the management of community development.,"Communities, Information Technology, Mapping Services, Property Management, Real Estate, Software",—,"New Hope, Pennsylvania, United States, North America",cecilianpartners.com,,"$5,860,000",Early Stage Venture,8,—,—
Seed Round - Web3 Pro,Seed,Seed,"$1,400,000","Oct 18, 2021",Web3 Pro,"Web3 Pro creates enterprise white-label platforms for global brands in order to make NFT campaigns seamless, easy to execute, and on-brand.","Automotive, Digital Marketing, Enterprise Software, SaaS, Sports",Women Led,"Palo Alto, California, United States, North America",web3pro.com,,"$18,605,376",—,6,SeventySix Capital,4
Seed Round - Umbrel,Seed,Seed,"$3,000,000","Oct 29, 2021",Umbrel,Umbrel provides a personal server with a Bitcoin and Lightning node at home.,—,—,"Wilmington, Delaware, United States, North America",getumbrel.com,,"$3,000,000",Seed,1,OSS Capital L.P.,11
Seed Round - Jump Clear,Seed,Seed,"$500,000","Oct 18, 2021",Jump Clear,Jump Clear operates as a daily fantasy sports platform.,"eSports, Information Technology, Sports",—,"West Palm Beach, Florida, United States, North America",www.jumpclear.com/,,"$1,050,000",Seed,4,—,—
Pre Seed Round - Sizze,Pre-Seed,Seed,"$120,000","Oct 20, 2021",Sizze,Sizze is a SaaS solution for creating apps with export to code and publishing to store,"Information Technology, Mobile Apps, SaaS",—,"Cape Girardeau, Missouri, United States, North America",sizze.io,,"$120,000",Seed,1,—,—
Pre Seed Round - Harmony Baby Nutrition,Pre-Seed,Seed,"$1,194,000","Nov 10, 2021",Harmony Baby Nutrition,Harmony is a biotechnology startup that creates human breast milk protein-based infant nutrition designed to help human babies thrive.,"Baby, Biotechnology, Food and Beverage, Health Care, Nutrition",—,"Boston, Massachusetts, United States, North America",www.harmonybabynutrition.com/,,"$7,524,000",Seed,4,Conscience VC,5
Seed Round - Gwoop,Seed,Seed,"$1,850,000","Oct 26, 2021",Gwoop,"Cognitive training for gamers, powered by science and technology.","Artificial Intelligence, eSports, Video Games",—,"Minneapolis, Minnesota, United States, North America",gwoop.com,,"$1,850,000",Seed,1,Angels of Many,3
Pre Seed Round - Strobes Security Inc,Pre-Seed,Seed,"$200,000","Oct 28, 2021",Strobes Security Inc,Risk-centered Vulnerability Management Platform,"Cyber Security, Information Technology, SaaS, Software",—,"Plano, Texas, United States, North America",strobes.co/,,"$760,894",Seed,4,SucSEED Venture Partners,1
Seed Round - AccelOne,Seed,Seed,"$100,000","Nov 4, 2021",AccelOne,AccelOne provides custom software development services to companies located worldwide who have found a better delivery experience.,"Customer Service, Information Technology, Insurance, Software",—,"Kirkland, Washington, United States, North America",accelone.com,,"$325,000",Seed,2,—,—
Seed Round - Robin,Seed,Seed,"$2,000,000","Nov 9, 2021",Robin,Robin is a supportive community that connects students with inspiring coaches to empower emotional growth.,E-Learning,—,"New York, New York, United States, North America",www.my-robin.com,,"$2,000,000",Seed,1,Eagle Proprietary Investments,3
Pre Seed Round - Tabbi,Pre-Seed,Seed,"$1,200,000","Oct 26, 2021",Tabbi,"Tabbi is a digital social concierge, empowering you to discover venues, connect to others, receive promotions, and pay your tab with ease.","FinTech, Social Network",—,"Greenville, South Carolina, United States, North America",www.tabbi.app,,"$1,200,000",Seed,2,—,—
Seed Round - Rapidise Inc,Seed,Seed,"$85,000","Nov 3, 2021",Rapidise Inc,Redefining product innovation success with Talent & Technology on demand - TTaaS,"Information Technology, SaaS, Software",—,"San Francisco, California, United States, North America",rapidise.io/,,"$85,000",Seed,1,Brijesh Kamani,1
Pre Seed Round - Avenida Productions,Pre-Seed,Seed,"$250,000","Oct 21, 2021",Avenida Productions,Avenida Productions is a production and consulting company that empowers independent filmmakers to bring results to their projects.,"Event Management, Film Production, Media and Entertainment, TV, TV Production","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Glendale, California, United States, North America",avenida.tv/,,"$250,000",Seed,1,—,1
Seed Round - Convex,Seed,Seed,"$3,500,000","Nov 2, 2021",Convex,Convex is a serverless infrastructure company that has built the global state management platform for web developers.,"Infrastructure, Internet",—,"San Francisco, California, United States, North America",convex.dev,,"$29,600,000",—,3,Neo,5
Seed Round - Irreverent Labs,Seed,Seed,"$5,000,000","Oct 29, 2021",Irreverent Labs,"Irreverent Labs develops artificially intelligent games with machine learning, engaging gameplay, and blockchain technology.","Artificial Intelligence, Blockchain, Gaming, Machine Learning, Software",—,"Sheridan, Wyoming, United States, North America",www.irreverentlabs.com,,"$45,500,000",—,3,Andreessen Horowitz,5
Seed Round - PURE Property Management,Seed,Seed,"$25,000,000","Oct 21, 2021",PURE Property Management,"PURE Property Management makes the joy of renting a home PURE. Simple, clean, and satisfying experiences for all.",Real Estate,—,"Los Gatos, California, United States, North America",purepm.co/,,"$75,000,000",Early Stage Venture,2,—,—
Pre Seed Round - SnapHealth | A Benefit Company,Pre-Seed,Seed,"$90,042","Nov 1, 2021",SnapHealth | A Benefit Company,"Giving patients all of their health and insurance data in one place to save time, organize, AND use with algorithms to cut their spending.","Consumer Research, Elder Care, Electronic Health Record (EHR), Health Care, Health Insurance, Insurance, Personal Health, Wellness",—,"Lancaster, Pennsylvania, United States, North America",www.mysnaphealth.com,,"$247,042",Seed,4,Joshua Brooker,1
Seed Round - Folia Health,Seed,Seed,"$6,000,000","Nov 1, 2021",Folia Health,"Folia Health is enabling the next generation of precise, patient-driven healthcare with home-reported outcomes.","Health Care, Hospital, Life Science, Software","Women Founded, Women Led","Cambridge, Massachusetts, United States, North America",www.foliahealth.com,,"$6,919,200",Seed,8,—,1
Seed Round - Coefficient,Seed,Seed,"$6,700,000","Oct 26, 2021",Coefficient,"Coefficient turns spreadsheets into an operating system for business teams with real-time data connectivity, automation, and workflows.","Analytics, Productivity Tools, SaaS, Software",—,"Palo Alto, California, United States, North America",www.coefficient.io,,"$24,700,000",Early Stage Venture,3,Foundation Capital,5
Seed Round - Hawku,Seed,Seed,"$4,000,000","Oct 28, 2021",Hawku,"http://hawku.com is building the marketplace for utility and gaming NFTs. Currently Hawku provides listings, sales and data for Zed horses.",Cryptocurrency,—,"San Francisco, California, United States, North America",www.hawku.com,,"$4,000,000",Seed,1,Lightspeed Venture Partners,8
Seed Round - Geno.Me,Seed,Seed,"$400,000","Nov 11, 2021",Geno.Me,Geno.Me is a data exchange platform that links a person’s genetic report with their electronic health records.,"Business Information Systems, Electronic Health Record (EHR), Health Care",—,"Madison, Wisconsin, United States, North America",www.yourgeno.me,,"$2,600,000",—,2,Gateway Capital Partners,1
Seed Round - Hank AI,Seed,Seed,"$200,000","Nov 3, 2021",Hank AI,HANK is healthcare AI that builds cutting edge technologies that augment and automate workflows within healthcare.,"Artificial Intelligence, Health Care, Machine Learning, Medical, Natural Language Processing",—,"Lexington, South Carolina, United States, North America",hank.ai,,"$4,729,996",Seed,4,"SC Launch, Inc.",1
Pre Seed Round - NudgeLabs,Pre-Seed,Seed,"$760,000","Oct 28, 2021",NudgeLabs,"NudgeLabs provides expertise in psychology, healthcare, and technology with a laser focus on developing customer-focused experiences.","Biometrics, Health Care, Wearables, Wellness",—,"Sweden, South Carolina, United States, North America",nudgelabs.com/,,"$1,760,000",Seed,2,Antler,1
Pre Seed Round - Vendorflow,Pre-Seed,Seed,"$1,400,000","Oct 14, 2021",Vendorflow,Business texting & messaging automation for the logistics industry that reaches truck drivers where they are.,"Enterprise Software, Logistics, SaaS, Software, Supply Chain Management",—,"Los Angeles, California, United States, North America",www.vendorflow.co/,,"$1,400,000",Seed,1,"Amplify.LA, TenOneTen Ventures",6
Seed Round - GridRival,Seed,Seed,"$3,000,000","Oct 18, 2021",GridRival,GridRival is a real money gaming platform dedicated exclusively to motorsports.,"Fantasy Sports, Gaming, Mobile Apps, Sports",—,"Portland, Oregon, United States, North America",gridrival.com/,,"$7,300,000",—,3,KB Partners,5
Seed Round - Ganymede Games,Seed,Seed,"$500,000","Nov 4, 2021",Ganymede Games,"Founded by ex-Riot Games industry veterans, we build episodic video games that complement the lifestyle of the 1B gamers with busy lives.","Gaming, PC Games, Video Games",—,"Las Cruces, New Mexico, United States, North America",www.ganymede.games/,,"$1,150,000",Seed,3,—,1
Seed Round - Acuity Partners,Seed,Seed,"$2,226,650","Oct 18, 2021",Acuity Partners,Acuity Partners is an investment firm that provides real estate and specialty finance investments.,"Finance, Financial Services, Venture Capital",—,"New York, New York, United States, North America",acuitypartnersnyc.com,,"$7,851,650",Seed,2,—,—
Pre Seed Round - 3GO,Pre-Seed,Seed,"$1,850,000","Nov 1, 2021",3GO,"3GO is a personalized security service that protects members from fraud, helping them maintain their online safety.",Cyber Security,Hispanic / Latine Founded,"San Francisco, California, United States, North America",www.3go.com/,,"$1,850,000",Seed,1,—,3
Pre Seed Round - TellerOne,Pre-Seed,Seed,"$125,000","Nov 1, 2021",TellerOne,"Fintech, Digital Bank, Software, Technology, Payment","Banking, Blockchain, Cryptocurrency, Financial Services, FinTech, Software",—,"Middletown, Delaware, United States, North America",www.tellerOne.co,,"$150,000",Seed,2,—,—
Seed Round - Ariprus,Seed,Seed,"$1,000,000","Nov 3, 2021",Ariprus,Ariprus is an industrial IoT platform that automates machine data collection and production analytics.,"Analytics, Industrial, Information Technology, Internet, Web Apps",—,"Troy, Michigan, United States, North America",ariprus.com/,,"$1,050,000",Seed,2,—,1
Seed Round - Carbon Trainer,Seed,Seed,"$2,000,000","Nov 1, 2021",Carbon Trainer,"fitness, wellness, hardware, consumer, saas, ai, platform, coaching","Artificial Intelligence, Consumer, Electronics, Fitness, Hardware, Quantified Self, SaaS, Wellness",—,"New York, New York, United States, North America",www.carbontrainer.com,,"$3,200,000",Seed,4,—,—
Seed Round - GoWild,Seed,Seed,"$2,500,000","Nov 2, 2021",GoWild,Social commerce platform driven by a data-driven shopping experience that makes outdoor activities easy to learn & fun to share,"E-Commerce, Marketplace, Outdoors, Social Network",—,"Louisville, Kentucky, United States, North America",shopgowild.com/,,"$8,255,000",Seed,6,—,5
Pre Seed Round - Wizest,Pre-Seed,Seed,"$1,700,000","Nov 1, 2021",Wizest,Invest through your own team of financial experts.,"Finance, Financial Services, FinTech, Information Services","Hispanic / Latine Founded, Hispanic / Latine Led","Ohio, Illinois, United States, North America",www.wizest.com/,,"$1,700,000",Seed,2,Aperture Venture Capital,5
Seed Round - Finotta,Seed,Seed,"$3,000,000","Oct 15, 2021",Finotta,Finotta builds mobile banking personalization technology for banks and credit unions,"Banking, Financial Services, FinTech",—,"Overland Park, Kansas, United States, North America",www.finotta.com,,"$3,000,000",Seed,1,—,—
Seed Round - Competera,Seed,Seed,"$1,500,000","Oct 25, 2021",Competera,Competera enables retailers and brands to increase customer trust by setting and maintaining optimal price positions on a real-time basis.,"Analytics, Artificial Intelligence, Big Data, E-Commerce, Enterprise Software, Information Technology, Machine Learning, Retail, Retail Technology, Software",—,"New York, New York, United States, North America",competera.net/,,"$4,300,000",Seed,5,Flyer One Ventures,1
Pre Seed Round - Avant Delivery,Pre-Seed,Seed,"$172,000","Nov 1, 2021",Avant Delivery,Avant Delivery is a packaging and container services company.,Sustainability,—,"Jackson, Wyoming, United States, North America",avantdelivery.co,,"$172,000",Seed,1,—,—
Pre Seed Round - Songlorious,Pre-Seed,Seed,"$500,000","Oct 20, 2021",Songlorious,Songlorious is a custom song company.,Music,—,"Brooklyn, New York, United States, North America",www.songlorious.com,,"$500,000",Seed,1,—,4
Seed Round - Voxel,Seed,Seed,"$3,000,000","Oct 26, 2021",Voxel,"Voxel uses computer vision and AI to enable security cameras to automate risk management and reporting, enhancing safety and operations.","Artificial Intelligence, Computer Vision, Industrial, Industrial Automation, Risk Management",—,"San Francisco, California, United States, North America",www.voxelai.com,,"$30,000,000",—,3,MTech Capital,1
Seed Round - Neuvotion,Seed,Seed,"$1,000,000","Oct 14, 2021",Neuvotion,Neuvotion is a medical device company developing neurostimulation products for the rehabilitation and physical therapy markets.,Health Care,—,"Darien, Connecticut, United States, North America",www.neuvotion-inc.com/,,"$2,250,000",Seed,2,"Good Shepherd Rehabilitation Network, Long Island Angel Network",2
Seed Round - Castellum,Seed,Seed,"$520,000","Oct 18, 2021",Castellum,"Castellum is a defense-oriented technology company which is executing strategic acquisitions in the cyber security, information technology.","Information Services, Information Technology",—,"Bethesda, Maryland, United States, North America",castellumus.com/,,"$3,520,000",IPO,2,—,—
Pre Seed Round - Superdao,Pre-Seed,Seed,"$1,000,000","Oct 21, 2021",Superdao,Wallet analytics platform built for Web3 growth teams,"Blockchain, Software",—,"San Francisco, California, United States, North America",superdao.co/,,"$11,500,000",Seed,2,—,8
Seed Round - Orgnostic,Seed,Seed,"$5,000,000","Oct 19, 2021",Orgnostic,Orgnostic develops a people analytics platform providing insights to measure the success of people initiatives.,"Analytics, Human Resources, Information Technology, Software",—,"Cambridge, Massachusetts, United States, North America",www.orgnostic.com/,,"$5,892,094",Seed,2,Earlybird Venture Capital,6
Seed Round - Bucha Bio,Seed,Seed,"$550,000","Oct 18, 2021",Bucha Bio,Novel biomaterials grown from infinitely renewable bacterial-nanocellulose.,"Advanced Materials, Biotechnology, Manufacturing, Textiles",—,"New York, New York, United States, North America",www.bucha.bio,,"$1,900,000",Seed,4,New Climate Ventures,9
Seed Round - Grounded Foods Co.,Seed,Seed,"$2,500,000","Oct 15, 2021",Grounded Foods Co.,"Grounded Foods makes plant-based cheeses from a proprietary fermentation process, using imperfect vegetables and hemp seed.","Food and Beverage, Snack Food","Women Founded, Women Led","Los Angeles, California, United States, North America",www.groundedfoods.com/,,"$4,440,000",Seed,3,Big Idea Ventures,6
Seed Round - Plum Life,Seed,Seed,"$2,450,000","Oct 21, 2021",Plum Life,Digital Life Insurance Platform for Agents and Advisors,"Financial Services, FinTech, Insurance, Life Insurance",—,"Berkeley Heights, New Jersey, United States, North America",helloplum.com,,"$7,750,000",Seed,2,Sonostar Ventures,1
Seed Round - Vitable Health,Seed,Seed,"$7,200,000","Oct 27, 2021",Vitable Health,"Vitable is a primary care plan that works for everyone. Our providers come directly to you, either virtually or through in-home visits.","Health Care, Health Insurance, Insurance",Black / African American Founded,"Philadelphia, Pennsylvania, United States, North America",www.vitablehealth.com/,,"$8,800,000",Seed,2,First Round Capital,5
Seed Round - Keyway,Seed,Seed,"$15,000,000","Nov 12, 2021",Keyway,Keyway provides a technology platform designed to make commercial real estate transactions easier.,"Artificial Intelligence, Real Estate, Software",—,"New York, New York, United States, North America",www.whykeyway.com/,,"$110,000,000",Early Stage Venture,3,Canvas Ventures,6
Seed Round - BitLyft,Seed,Seed,"$1,000,000","Nov 2, 2021",BitLyft,BitLyft expertise in custom developed security services for cyber security.,"Cyber Security, Information Technology, Security",—,"East Lansing, Michigan, United States, North America",www.bitlyft.com,,"$2,000,000",Seed,3,NY Technology Capital Partners,4
Seed Round - Perflo,Seed,Seed,"$1,000,000","Nov 1, 2021",Perflo,Perflo is a people analytics platform.,"Analytics, Software, Virtual Workforce",—,"Los Angeles, California, United States, North America",www.perflo.co/,,"$1,000,000",Seed,2,—,—
Seed Round - BigFoot Reduction,Seed,Seed,"$598,000","Oct 18, 2021",BigFoot Reduction,"BigFoot Reduction specializes in the fields of building construction, planning, and management.","Building Maintenance, Construction, Environmental Engineering",—,"Tampa, Florida, United States, North America",,,"$598,000",Seed,1,—,—
Seed Round - Chloris Geospatial,Seed,Seed,"$2,499,999","Oct 18, 2021",Chloris Geospatial,Chloris Geospatial is able to provide answers today to critical natural capital issues.,"Natural Resources, Satellite Communication",—,"Newtonville, Massachusetts, United States, North America",chloris.earth/,,"$2,499,999",Seed,2,—,2
Seed Round - Dance Church,Seed,Seed,"$4,700,000","Oct 18, 2021",Dance Church,"Dance Church is a creators of a high-energy, dance-focused movement class that also includes an online subscription platform.","Fitness, Wellness",Women Led,"Seattle, Washington, United States, North America",go.dancechurch.com/,,"$4,700,000",Seed,1,MaC Venture Capital,7
Seed Round - Buck Surgical,Seed,Seed,"$610,000","Oct 27, 2021",Buck Surgical,Buck Surgical commits to revolutionizing surgical care and expanding patient access to life- and limb-preserving treatments,"Health Care, Medical Device",—,"St Louis, Missouri, United States, North America",bucksurgical.com/,,"$676,500",Seed,3,—,—
Pre Seed Round - Archy,Pre-Seed,Seed,"$2,000,000","Oct 27, 2021",Archy,SaaS Practice Management Software for Dental Practices,"Dental, Health Care, Internet, Software",—,"San Jose, California, United States, North America",www.archy.com/,,"$10,000,000",Seed,3,Alven,3
Seed Round - Bite Ninja,Seed,Seed,"$4,000,000","Nov 4, 2021",Bite Ninja,Bite Ninja is a remote hiring technology platform for restaurants.,"Restaurants, SaaS, Software",—,"Memphis, Tennessee, United States, North America",www.biteninja.com/,,"$15,975,000",Seed,3,Owl Ventures,4
Seed Round - Swft,Seed,Seed,"$10,000,000","Oct 13, 2021",Swft,Swft operates as an electric mobility startup.,"Automotive, Electric Vehicle",—,"Edison, New Jersey, United States, North America",rideswft.com/,,"$10,000,000",Seed,1,—,3
Seed Round - Orbee,Seed,Seed,"$430,000","Nov 5, 2021",Orbee,"Orbee provides digital marketing analytics, data, and automation solutions to the automotive industry.","Advertising, Automotive, Digital Marketing, Internet, Marketing, Marketing Automation","South Asian Founded, South Asian Led","Irvine, California, United States, North America",www.orbee.com,,"$7,492,000",Early Stage Venture,7,—,—
Seed Round - Gipper,Seed,Seed,"$3,438,778","Nov 12, 2021",Gipper,Gipper is a content creation platform for schools that makes graphic design quick and easy.,"Content, Information Services, Information Technology",—,"New York, New York, United States, North America",www.gipper.com/,,"$12,064,885",Early Stage Venture,2,TIA Ventures,2
Seed Round - Vincere Health,Seed,Seed,"$3,000,000","Oct 17, 2021",Vincere Health,"Vincere Health is a smarter incentives, biofeedback and coaching platform for behavior change.","Fitness, Health Care, Software, Wearables, Wellness",—,"Stoneham, Massachusetts, United States, North America",www.vincere.health,,"$6,039,360",Seed,8,American Family Insurance Institute for Corporate and Social Impact,12
Pre Seed Round - Breath Hub - Your Breath Journey,Pre-Seed,Seed,"$478,000","Nov 1, 2021",Breath Hub - Your Breath Journey,"Breath Hub is the world's first and only personalized, all inclusive breathwork app.","Apps, Fitness, Health Care, Personal Health, Wellness",Women Founded,"San Francisco, California, United States, North America",breathhub.app,,"$858,000",Seed,2,—,—
Pre Seed Round - Narrative BI,Pre-Seed,Seed,"$1,200,000","Nov 12, 2021",Narrative BI,Narrative BI is a no-code augmented analytics platform for growth teams that automatically turns raw data into actionable narratives.,"Analytics, Enterprise Software",—,"San Francisco, California, United States, North America",www.narrative.bi,,"$1,400,000",Seed,2,—,7
Seed Round - Sempera Organics,Seed,Seed,"$1,600,000","Nov 9, 2021",Sempera Organics,Sempera Organics is a biotechnology firm that specializes in fungi-based wellness ingredients and products.,"Agriculture, AgTech, Biotechnology, Farming, Food and Beverage",—,"Morgan Hill, California, United States, North America",semperaorganics.com,,"$1,600,000",Seed,3,—,1
Seed Round - Pendella,Seed,Seed,"$510,000","Oct 21, 2021",Pendella,Pendella is an insurtech startup that offers individual life and disability insurance services for employees.,"Artificial Intelligence, Insurance, InsurTech, Life Insurance, SaaS, Software",—,"Fort Myers, Florida, United States, North America",www.pendella.com,,"$10,927,737",—,7,—,2
Pre Seed Round - Renegade Insurance,Pre-Seed,Seed,"$100,000","Nov 10, 2021",Renegade Insurance,"InsureTech, Independent Insurance Agency",Insurance,—,"Southlake, Texas, United States, North America",www.renegadeinsurance.net,,"$75,100,000",—,2,—,—
Seed Round - Tynt Technologies,Seed,Seed,"$5,500,000","Oct 13, 2021",Tynt Technologies,Tynt Technologies is a developer of a smart window to prevent glare while maintaining views and save energy.,"Energy, Energy Management, Renewable Energy","Black / African American Founded, Black / African American Led","Boulder, Colorado, United States, North America",www.tynt.io/,,"$17,067,979",Seed,5,"Prime Impact Fund, Starlight Ventures",3
Seed Round - Cloudquery,Seed,Seed,"$3,500,000","Nov 10, 2021",Cloudquery,CloudQuery is the open-source cloud asset inventory powered by SQL.,"Cloud Infrastructure, Cloud Security, Software",—,"Wilmington, Delaware, United States, North America",www.cloudquery.io/,,"$18,500,000",Early Stage Venture,2,boldstart ventures,4
Pre Seed Round - Parrot Finance,Pre-Seed,Seed,"$1,800,000","Nov 5, 2021",Parrot Finance,"A social investing platform focused on trade-mimicking and real-time trade alerts from vetted, top financial influencers","Cryptocurrency, Financial Services, FinTech, Payments","South Asian Founded, Women Founded, Women Led","San Francisco, California, United States, North America",www.parrotfinance.io/,,"$1,920,000",Seed,2,Harlem Capital Partners,5
Pre Seed Round - NotedSource,Pre-Seed,Seed,"$120,000","Nov 8, 2021",NotedSource,NotedSource is a platform that automates and manages the external consulting interactions of academics and scientists.,"Artificial Intelligence, EdTech, Professional Services",Black / African American Founded,"New York, New York, United States, North America",notedsource.io/,,"$2,120,000",Seed,2,Techstars,1
Pre Seed Round - Knoow,Pre-Seed,Seed,"$550,000","Nov 8, 2021",Knoow,Knoow is a software application that provides real-time location-based tracking capabilities.,"Location Based Services, Marketing, Mobile Apps, Real Time, Software",—,"New York, New York, United States, North America",www.knoow.co,,"$550,000",Seed,1,Techstars,1
Pre Seed Round - Ivy Clinicians,Pre-Seed,Seed,"$300,000","Nov 1, 2021",Ivy Clinicians,"Two-sided marketplace for clinician jobs. Ivy is the simplest way for physicians, PAs and nurse practitioners to match with jobs they love.","Health Care, Marketplace, Medical, Professional Services",—,"Raleigh, North Carolina, United States, North America",www.ivyclinicians.io/,,"$948,000",Seed,2,—,—
Pre Seed Round - Aqua Cultured Foods,Pre-Seed,Seed,"$2,300,000","Oct 27, 2021",Aqua Cultured Foods,AquaCultured Foods develops a novel new tech that creates an alternative seafood option through the use of microbial fermentation.,"AgTech, Biotechnology, Food Processing, Seafood, Sustainability","Women Founded, Women Led","Chicago, Illinois, United States, North America",www.aquaculturedfoods.com,,"$7,800,000",Seed,3,—,7
