Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - HomeMetrics,Pre-Seed,Seed,"$1,000","Mar 15, 2020",HomeMetrics,HomeMetrics is a producer of smart home water monitoring devices.,"Internet of Things, SaaS, Smart Home, Software",—,"Rapid City, South Dakota, United States, North America",www.homemetrics.io,,"$26,000",Seed,6,—,—
Pre Seed Round - HomeMetrics,Pre-Seed,Seed,"$5,000","Apr 9, 2020",HomeMetrics,HomeMetrics is a producer of smart home water monitoring devices.,"Internet of Things, SaaS, Smart Home, Software",—,"Rapid City, South Dakota, United States, North America",www.homemetrics.io,,"$26,000",Seed,6,—,—
Pre Seed Round - HomeMetrics,Pre-Seed,Seed,"$10,000","Apr 23, 2020",HomeMetrics,HomeMetrics is a producer of smart home water monitoring devices.,"Internet of Things, SaaS, Smart Home, Software",—,"Rapid City, South Dakota, United States, North America",www.homemetrics.io,,"$26,000",Seed,6,—,—
Pre Seed Round - MoxieJam,Pre-Seed,Seed,"$275,000","Mar 19, 2020",MoxieJam,Mobile App,"Digital Entertainment, Media and Entertainment, Social Media",—,"Hopewell Junction, New York, United States, North America",moxiejam.com,,"$275,000",Seed,2,Penske Media Corporation,3
Pre Seed Round - EV HUMAN and EVH,Pre-Seed,Seed,"$1,000","Apr 5, 2020",EV HUMAN and EVH,"The first all in one software in hospitality for employees, guests, and owners. The world's first technology hotels.","Hospitality, Hotel, Software",—,"Atlanta, Georgia, United States, North America",www.evhotelgroup.com,,"$1,000",Seed,1,—,—
Seed Round - RefineRE,Seed,Seed,"$1,175,000","Apr 15, 2020",RefineRE,RefineRE operates as a portfolio management platform and data analytics provider for corporate real estate.,"Analytics, Commercial Real Estate, SaaS",—,"Dallas, Texas, United States, North America",refinere.com,,"$1,295,000",Seed,4,—,1
Seed Round - Sunshine App,Seed,Seed,"$20,000,000","May 1, 2020",Sunshine App,"Sunshine App enables its users to share, access, and stream contents across devices without cloud storage.","Apps, Cloud Data Services, Cloud Infrastructure, File Sharing, Software","Women Founded, Women Led","San Francisco, California, United States, North America",www.sunshineapp.com,,"$21,912,931",Seed,2,—,1
Seed Round - Noteworth,Seed,Seed,"$150,000","Apr 1, 2020",Noteworth,Noteworth connects healthcare organizations with patient-generated health data to improve patient engagement on an ongoing basis.,"Electronic Health Record (EHR), Health Care, Information Technology, Software",—,"Hoboken, New Jersey, United States, North America",www.noteworth.com,,"$7,393,250",Seed,9,Techstars,2
Seed Round - Cloosiv,Seed,Seed,"$500,000","Apr 14, 2020",Cloosiv,"Cloosiv was an order-ahead app for coffee shops, cafés, and bakeries.","Coffee, Food and Beverage",—,"Charlotte, North Carolina, United States, North America",www.cloosiv.com,,"$2,125,000",M&A,5,—,5
Pre Seed Round - Avion,Pre-Seed,Seed,"$150,000","Mar 17, 2020",Avion,Avion is an autonomous aerial network that delivers medicals and vaccine supplies via drones.,"Aerospace, Drones, Medical",Black / African American Founded,"San Francisco, California, United States, North America",www.avion.health/,,"$4,879,998",—,2,Y Combinator,1
Pre Seed Round - Curated Dental,Pre-Seed,Seed,"$50,000","Apr 1, 2020",Curated Dental,Oral care ecommerce company with high end oral care products and teledental services,"Dental, E-Commerce",—,"Los Gatos, California, United States, North America",curateddental.com,,"$110,000",Seed,3,—,—
Seed Round - Red Leader,Seed,Seed,"$3,000,000","Apr 20, 2020",Red Leader,Red Leader is a hardware and software company building HD software-defined lidar systems for 3D mapping.,"3D Technology, Mapping Services, Software",—,"Palo Alto, California, United States, North America",www.redleadertech.com/,,"$13,000,000",Early Stage Venture,4,NextView Ventures,6
Seed Round - Nate,Seed,Seed,"$8,000,000","Mar 27, 2020",Nate,"Nate is an online shopping app that allows users to purchase, gift, and save products from online retailers.","Consumer Software, E-Commerce, Mobile Apps, Shopping",—,"New York, New York, United States, North America",www.nate.tech,,"$47,300,000",Early Stage Venture,3,"Canaan Partners, Coatue",2
Pre Seed Round - Duffl,Pre-Seed,Seed,"$150,000","Mar 16, 2020",Duffl,We deliver groceries to college communities in 10 minutes.,"Consumer, Food Delivery, Grocery, Snack Food",—,"Los Angeles, California, United States, North America",www.duffl.com/,,"$13,292,000",Early Stage Venture,3,—,1
Seed Round - Motion,Seed,Seed,"$150,000","Mar 16, 2020",Motion,"Motion is an AI time management platform that provides real-time interventions, reminders, and analytics.","Analytics, Artificial Intelligence, Productivity Tools, Real Time, Software",—,"San Francisco, California, United States, North America",www.usemotion.com,,"$13,150,000",Early Stage Venture,2,Y Combinator,3
Seed Round - Oncolyze,Seed,Seed,"$100,000","Apr 24, 2020",Oncolyze,Oncolyze is developing a disruptive technology for the treatment of cancer.,"Biotechnology, Health Care",—,"New York, New York, United States, North America",oncolyze.com/,,"$2,045,000",Early Stage Venture,6,—,—
Pre Seed Round - Lucky,Pre-Seed,Seed,"$250,000","Apr 6, 2020",Lucky,Lucky enables retailers and omnichannel brands to work together.,"Consumer, E-Commerce, Information Technology, Logistics, Marketing, Retail, Retail Technology",South Asian Founded,"New York, New York, United States, North America",www.luckylabs.io/,,"$3,250,000",Seed,2,Quake Capital Partners,2
